商品コード,③品番,④モデル名,⑦色,⑧入数,価格,サイズ,重量
10400001,ABC-123,スタンダードモデルA,レッド,10,¥5,800,300x200x100mm,450g
10400002,ABC-124,スタンダードモデルA,ブルー,10,¥5,800,300x200x100mm,450g
10400003,ABC-125,スタンダードモデルA,グリーン,10,¥5,800,300x200x100mm,450g
10400004,DEF-456,プレミアムモデルB,ブラック,5,¥12,500,350x250x120mm,680g
10400005,DEF-457,プレミアムモデルB,ホワイト,5,¥12,500,350x250x120mm,680g
10400006,GHI-789,コンパクトモデルC,イエロー,20,¥3,200,200x150x80mm,280g
10400007,GHI-790,コンパクトモデルC,オレンジ,20,¥3,200,200x150x80mm,280g
10400008,JKL-012,デラックスモデルD,シルバー,3,¥18,900,400x300x150mm,920g
10400009,MNO-345,エコノミーモデルE,ピンク,30,¥1,980,180x120x60mm,180g
10400010,PQR-678,ビジネスモデルF,ネイビー,8,¥8,500,320x220x110mm,550g
10400011,STU-901,スポーツモデルG,レッド/ブラック,12,¥6,800,280x200x95mm,420g
10400012,VWX-234,アウトドアモデルH,カーキ,6,¥14,200,360x280x140mm,780g
